"918","2014","19","24","Abu Dhabi Grand Prix","2014-11-23","13:00:00","http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix"
"917","2014","18","18","Brazilian Grand Prix","2014-11-09","16:00:00","http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix"
"916","2014","17","69","United States Grand Prix","2014-11-02","20:00:00","http://en.wikipedia.org/wiki/2014_United_States_Grand_Prix"
"139","2002","16","19","United States Grand Prix","2002-09-29",NULL,"http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix"
"138","2002","15","14","Italian Grand Prix","2002-09-15",NULL,"http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix"
"137","2002","14","13","Belgian Grand Prix","2002-09-01",NULL,"http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix"
"136","2002","13","11","Hungarian Grand Prix","2002-08-18",NULL,"http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix"
"135","2002","12","10","German Grand Prix","2002-07-28",NULL,"http://en.wikipedia.org/wiki/2002_German_Grand_Prix"
"134","2002","11","8","French Grand Prix","2002-07-21",NULL,"http://en.wikipedia.org/wiki/2002_French_Grand_Prix"
"133","2002","10","9","British Grand Prix","2002-07-07",NULL,"http://en.wikipedia.org/wiki/2002_British_Grand_Prix"
"132","2002","9","20","European Grand Prix","2002-06-23",NULL,"http://en.wikipedia.org/wiki/2002_European_Grand_Prix"
"131","2002","8","7","Canadian Grand Prix","2002-06-09",NULL,"http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix"
"130","2002","7","6","Monaco Grand Prix","2002-05-26",NULL,"http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix"
"129","2002","6","23","Austrian Grand Prix","2002-05-12",NULL,"http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix"
"128","2002","5","4","Spanish Grand Prix","2002-04-28",NULL,"http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix"
"127","2002","4","21","San Marino Grand Prix","2002-04-14",NULL,"http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix"
"126","2002","3","18","Brazilian Grand Prix","2002-03-31",NULL,"http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix"
"124","2002","1","1","Australian Grand Prix","2002-03-03",NULL,"http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix"
